mflt_indx1_1,mflt_indx1_2,mflt_indx1_3,mflt_indx1_4,mflt_indx1_5,mflt_indx1_6,mflt_indx1_7,mflt_indx1_8
414,625,0.618482657326649,0.177510987006751,113,261,0.531971201723562,0.215767097231893
410,623,0.379636760161104,0.147572644732572,109,255,0.371495153387693,0.168371552480912
408,623,0.469437402652781,0.235065173013248,107,253,0.371495153387693,0.168371552480912
412,624,0.335554088290308,0.203820613781946,111,258,0.384788689463861,0.228209185926488
417,626,0.258566668908097,0.17471191482449,116,265,0.262340837867975,0.173632609777407
418,627,0.258566668908097,0.17471191482449,117,268,0.261442822710363,0.173889416587667
411,624,0.440937758220122,0.256022869424883,110,256,0.384788689463861,0.228209185926488
413,625,0.440937758220122,0.256022869424883,112,259,0.531971201723562,0.215767097231893
415,626,0.298683992218956,0.163239500636048,114,263,0.262340837867975,0.173632609777407
416,627,0.298683992218956,0.163239500636048,115,264,0.261442822710363,0.173889416587667
374,612,0.587342261114913,0.234833740907199,74,194,0.587342261114913,0.234833740907199
419,0,0.305629089128314,0.279184411789928,118,271,0,0
403,0,0.266139102552792,0.204351259769729,102,233,0,0
409,623,0.270947603401458,0.131257529172533,108,254,0.371495153387693,0.168371552480912
