fault w,section w,multifault w,b-value,Moment Rate (Nm/yr)
0.1,0.1,0.8,0.983482527447204,1.43934886404215e+18
0.1,0.2,0.7,0.969723531424432,1.31750002362925e+18
0.1,0.3,0.6,0.961049200190382,1.27489750938806e+18
0.1,0.4,0.5,0.954341786412862,1.22962685609536e+18
0.1,0.5,0.4,0.948946052128611,1.16373257545015e+18
0.1,0.6,0.3,0.943298135418962,1.0922266063545e+18
0.1,0.7,0.2,0.936575577239259,1.06539594809515e+18
0.1,0.8,0.1,0.927613296546588,1.03165073127356e+18
0.2,0.1,0.7,0.989258501951816,1.49850252999757e+18
0.2,0.2,0.6,0.974027253670136,1.43453812237413e+18
0.2,0.3,0.5,0.96447515097957,1.31538782445524e+18
0.2,0.4,0.4,0.955958340370998,1.25660674214638e+18
0.2,0.5,0.3,0.948343908547525,1.21531114058204e+18
0.2,0.6,0.2,0.940482340984249,1.16975068586962e+18
0.2,0.7,0.1,0.931155440784767,1.10941068418984e+18
0.3,0.1,0.6,0.990104888057759,1.51643438695131e+18
0.3,0.2,0.5,0.976344909707192,1.42210247012201e+18
0.3,0.3,0.4,0.964557319562796,1.393616320162e+18
0.3,0.4,0.3,0.954936260644336,1.29253153040728e+18
0.3,0.5,0.2,0.94714998416005,1.21994170702004e+18
0.3,0.6,0.1,0.936400077822951,1.19689357052614e+18
0.4,0.1,0.5,0.98821469204998,1.55194275474662e+18
0.4,0.2,0.4,0.975115004302774,1.44704172745857e+18
0.4,0.3,0.3,0.964076592454509,1.37073601353366e+18
0.4,0.4,0.2,0.95422344129269,1.31038131564627e+18
0.4,0.5,0.1,0.943386966350274,1.2954267171827e+18
0.5,0.1,0.4,0.986419228064956,1.52504642811328e+18
0.5,0.2,0.3,0.972863451445849,1.45758008565479e+18
0.5,0.3,0.2,0.962317200051019,1.3847732785247e+18
0.5,0.4,0.1,0.951122704687763,1.31363695153329e+18
0.6,0.1,0.3,0.982402435088997,1.5578331953084e+18
0.6,0.2,0.2,0.970513895089157,1.47379644502745e+18
0.6,0.3,0.1,0.958785662331581,1.41182545112681e+18
0.7,0.1,0.2,0.97978218390374,1.51967252050702e+18
0.7,0.2,0.1,0.967443923133941,1.45607586054743e+18
0.8,0.1,0.1,0.976322395084313,1.55276356230849e+18
