lat,lon,depth,MSSD_id
-16.8881327957247,35.2518886148065,0,301
-17.165,35.135,0,301
-17.2016286086318,35.2299615698929,14.4370586567068,301
-16.9247617840612,35.3467094423111,14.4370586567068,301
-16.8881327957247,35.2518886148065,0,301
-16.2542539914256,34.8537820441692,0,302
-15.894,34.406,0,302
-15.893,34.399,0,302
-15.826,34.336,0,302
-15.83,34.317,0,302
-15.698,34.168,0,302
-15.684,34.013,0,302
-15.5,33.802,0,302
-15.6893792845725,33.653731163272,35,302
-15.8733786679271,33.8645965320679,35,302
-15.8873786209625,34.0195862156976,35,302
-16.0193781778311,34.1684884403787,35,302
-16.0153781912679,34.1874914167432,35,302
-16.0823779661301,34.2504414513672,35,302
-16.0833779627687,34.2574407038218,35,302
-16.4436307410102,34.7049499976675,35,302
-16.2542539914256,34.8537820441692,0,302
-16.5740131348033,34.8983458391487,0,303
-16.606,34.946,0,303
-16.4822319344791,35.0363628386032,22.2918589659208,303
-16.4502451090569,34.9886937681116,22.2918589659208,303
-16.5740131348033,34.8983458391487,0,303
-16.4554319039833,34.9703222115081,16.7929631388167,304
-16.4554227464562,34.9703277228731,16.7945232989546,304
-16.4407846301663,34.9511180755602,17.3059444275555,304
-16.4407828036935,34.9511176001011,17.3058097984824,304
-16.4404018402161,34.9506183814291,17.3191620750116,304
-16.4403951406042,34.9506335817562,17.3210938024254,304
-16.3986404476001,34.8958863648074,18.7836148350295,304
-16.3986248158091,34.8958848441208,18.7855047834521,304
-16.3880335547997,34.8819868303033,19.1553879324168,304
-16.3880243024419,34.8819923972127,19.1569642494008,304
-16.5004681127725,34.814337803264,0,304
-16.554,34.911,0,304
-16.4554319039833,34.9703222115081,16.7929631388167,304
-16.3350747528565,34.7902646411618,14.9370324302593,305
-16.3350721268944,34.7902667049173,14.9365471084205,305
-16.3076699358499,34.7530366106938,15.2253329987716,305
-16.3076644119546,34.7530406392687,15.2263279093641,305
-16.3922033061355,34.6913864543997,0,305
-16.482,34.825,0,305
-16.3350747528565,34.7902646411618,14.9370324302593,305
-16.3085522969285,34.8111087595801,10.0352376771154,306
-16.3085463836005,34.8111134068914,10.0341447949065,306
-16.2846691193879,34.7809146218383,10.081536378482,306
-16.2846586839277,34.7809106180921,10.0823758002777,306
-16.2694728718249,34.7617396695474,10.1103513682507,306
-16.26947034052,34.7617214463326,10.1090165845979,306
-16.2042653521285,34.6793263736171,10.2390159061665,306
-16.2042644666615,34.6793232834206,10.2391972735606,306
-16.1963013983577,34.66921787684,10.2508812335547,306
-16.1962823397014,34.6692339397728,10.2544992910247,306
-16.2502994413421,34.6237074842782,0,306
-16.41,34.829,0,306
-16.3085522969285,34.8111087595801,10.0352376771154,306
-16.1729420579852,34.8857655653938,0,307
-15.897,34.653,0,307
-16.0006910064893,34.5197390924703,24.322660561146,307
-16.2766323170772,34.7523188136017,24.322660561146,307
-16.1729420579852,34.8857655653938,0,307
-16.4236009377549,35.1016495284501,0,308
-16.206,34.89,0,308
-16.3183779286497,34.7643896729695,24.322660561146,308
-16.5359783428991,34.9758984733381,24.322660561146,308
-16.4236009377549,35.1016495284501,0,308
-16.6410231326515,35.527177506989,0,309
-16.579,35.415,0,309
-16.497,35.38,0,309
-16.42,35.296,0,309
-16.4930053007464,35.2198476463614,15.2377788304763,309
-16.5700052327078,35.3038172641754,15.2377788304763,309
-16.6520051601913,35.3387847310424,15.2377788304763,309
-16.7140282379516,35.4509375084041,15.2377788304763,309
-16.6410231326515,35.527177506989,0,309
-16.4915690867816,35.222569999673,0,310
-16.307,35.061,0,310
-16.271,35.084,0,310
-16.157,34.974,0,310
-16.073,34.876,0,310
-15.813,34.736,0,310
-15.9232817407758,34.5658746064397,29.1188136076095,310
-16.1832805931465,34.7056523153645,29.1188136076095,310
-16.2672802217299,34.8035796234667,29.1188136076095,310
-16.3812797171556,34.9134802843508,29.1188136076095,310
-16.4172795576939,34.8904487497224,29.1188136076095,310
-16.6018478259973,35.0518558313004,29.1188136076095,310
-16.4915690867816,35.222569999673,0,310
-16.4921623802241,35.2211275916312,0,311
-16.212,34.967,0,311
-16.2862250623889,34.8780220835949,16.6988552295666,311
-16.5663871042964,35.1320213143157,16.6988552295666,311
-16.4921623802241,35.2211275916312,0,311
-16.3237248367621,35.1539820973114,0,312
-16.157,34.974,0,312
-16.073,34.876,0,312
-15.813,34.736,0,312
-15.9149036861468,34.6003144635441,24.4342070584048,312
-16.1749029561343,34.7401372701606,24.4342070584048,312
-16.2589027198747,34.8380793254837,24.4342070584048,312
-16.4256270871041,35.01794539981,24.4342070584048,312
-16.3237248367621,35.1539820973114,0,312
-15.7732840726039,35.0307299342634,0,313
-15.544,35.127,0,313
-15.48,35.161,0,313
-15.374,35.214,0,313
-15.194,35.299,0,313
-15.1257029701013,35.1473929148053,23.8287780042939,313
-15.3057023394252,35.0622633147956,23.8287780042939,313
-15.4117019675203,35.0091861896608,23.8287780042939,313
-15.4757017427903,34.9751393338267,23.8287780042939,313
-15.7049850091386,34.8786996079971,23.8287780042939,313
-15.7732840726039,35.0307299342634,0,313
-15.6960782113346,34.9185423991136,0,314
-15.399,35.119,0,314
-15.314,35.137,0,314
-15.157,35.193,0,314
-15.151,35.21,0,314
-15.057,35.227,0,314
-14.9826229995834,35.0620169458472,25.9485636589351,314
-15.0766226097114,35.0449442533615,25.9485636589351,314
-15.0826225848142,35.0279395961541,25.9485636589351,314
-15.2396219328379,34.9718169949225,25.9485636589351,314
-15.3246215794514,34.953750024444,25.9485636589351,314
